Question,System,BERTScore,ROUGE_1,ROUGE_2,ROUGE_L,Relevance,Accuracy,Completeness,Groundedness
What is the primary motivation for developing an LLM-driven chatbot for databases and information systems?,Baseline,0.8443,0.1538,0.0423,0.1119,5,4,2,4
What is the primary motivation for developing an LLM-driven chatbot for databases and information systems?,RAG System,0.8713,0.4091,0.1905,0.3182,4,3,2,4
How did the authors evaluate the effectiveness of the chatbot?,Baseline,0.8593,0.1457,0.049,0.0972,4,2,2,2
How did the authors evaluate the effectiveness of the chatbot?,RAG System,0.8717,0.2979,0.0444,0.2128,4,3,2,4
What specific large language models were discussed or utilized in the chatbot's architecture?,Baseline,0.8364,0.0769,0.0,0.0769,2,1,1,1
What specific large language models were discussed or utilized in the chatbot's architecture?,RAG System,0.8285,0.1702,0.0,0.1277,5,4,3,5
What are the key limitations of the study mentioned by the authors?,Baseline,0.8353,0.1519,0.0519,0.1013,5,5,5,5
What are the key limitations of the study mentioned by the authors?,RAG System,0.8189,0.0,0.0,0.0,5,5,5,5
What specific database concepts did the chatbot focus on teaching?,Baseline,0.8558,0.1508,0.0711,0.1206,4,5,2,5
What specific database concepts did the chatbot focus on teaching?,RAG System,0.8393,0.2051,0.0541,0.2051,2,1,1,5
What role does Retrieval-Augmented Generation (RAG) play in the educational chatbot framework?,Baseline,0.8168,0.1059,0.0355,0.1,5,4,4,4
What role does Retrieval-Augmented Generation (RAG) play in the educational chatbot framework?,RAG System,0.8318,0.2264,0.0392,0.1887,5,4,2,4
How did the developers handle student data privacy while using large language models?,Baseline,0.8212,0.1081,0.0363,0.0901,5,5,2,4
How did the developers handle student data privacy while using large language models?,RAG System,0.8506,0.1818,0.0755,0.1818,4,2,2,2
What was the observed impact of the chatbot on student engagement?,Baseline,0.8413,0.0929,0.022,0.0765,5,4,2,2
What was the observed impact of the chatbot on student engagement?,RAG System,0.8694,0.1739,0.0909,0.1739,5,4,2,4
"According to the research, did the chatbot replace the need for traditional teaching assistants?",Baseline,0.8367,0.0779,0.0,0.0519,1,1,1,5
"According to the research, did the chatbot replace the need for traditional teaching assistants?",RAG System,0.854,0.1739,0.0,0.1739,5,5,4,5
How does the system prompt the LLM to format its educational explanations?,Baseline,0.809,0.0784,0.0225,0.0728,4,2,2,2
How does the system prompt the LLM to format its educational explanations?,RAG System,0.8464,0.2069,0.0714,0.2069,4,3,2,4
How were database schemas provided to the chatbot to assist with SQL queries?,Baseline,0.8176,0.0969,0.0049,0.0726,4,2,2,2
How were database schemas provided to the chatbot to assist with SQL queries?,RAG System,0.8329,0.1481,0.0385,0.1111,5,5,5,5
Did the chatbot demonstrate any bias or disparate impact on international students compared to native speakers?,Baseline,0.8064,0.0496,0.0055,0.0386,4,3,2,5
Did the chatbot demonstrate any bias or disparate impact on international students compared to native speakers?,RAG System,0.8154,0.0,0.0,0.0,5,5,5,5
What vector database technology was used to store the course materials?,Baseline,0.8276,0.0957,0.0108,0.0745,4,1,1,5
What vector database technology was used to store the course materials?,RAG System,0.8482,0.2051,0.0541,0.1026,5,5,4,5
How did the framework handle multi-turn conversations where students asked follow-up questions?,Baseline,0.8395,0.1118,0.0331,0.0789,5,2,2,2
How did the framework handle multi-turn conversations where students asked follow-up questions?,RAG System,0.8569,0.1961,0.0,0.1569,4,3,2,3
Were any cost considerations mentioned regarding the deployment of commercial LLM APIs?,Baseline,0.829,0.1216,0.0136,0.0743,5,4,4,4
Were any cost considerations mentioned regarding the deployment of commercial LLM APIs?,RAG System,0.8464,0.1961,0.0,0.1569,5,5,4,5
What future work do the authors propose to improve the chatbot?,Baseline,0.827,0.1628,0.0391,0.1085,4,1,1,1
What future work do the authors propose to improve the chatbot?,RAG System,0.8437,0.2857,0.0741,0.25,4,2,1,3
How does the chatbot distinguish between an administrative query (like grading policy) and a technical query?,Baseline,0.8154,0.0807,0.0135,0.0673,5,2,2,2
How does the chatbot distinguish between an administrative query (like grading policy) and a technical query?,RAG System,0.8144,0.0357,0.0,0.0357,5,5,5,5
What specific chunking strategy was used to break down the textbook PDFs for the vector database?,Baseline,0.8175,0.1061,0.0165,0.0735,4,1,1,5
What specific chunking strategy was used to break down the textbook PDFs for the vector database?,RAG System,0.8493,0.2222,0.0656,0.1905,4,4,2,4
How did the system handle queries where the course material provided contradictory information?,Baseline,0.8321,0.0984,0.033,0.0787,4,2,2,2
How did the system handle queries where the course material provided contradictory information?,RAG System,0.8534,0.1509,0.0,0.0755,4,1,1,5
What programming language and backend framework were predominantly utilized to host this RAG system?,Baseline,0.8398,0.1909,0.055,0.1545,5,4,4,4
What programming language and backend framework were predominantly utilized to host this RAG system?,RAG System,0.8096,0.0465,0.0,0.0465,5,5,1,5
What is the capital of Australia?,Baseline,0.8221,0.0,0.0,0.0,5,5,5,1
What is the capital of Australia?,RAG System,0.882,0.3636,0.3,0.3636,5,5,5,5
Can you explain the detailed biological process of photosynthesis in plants?,Baseline,0.7609,0.0,0.0,0.0,5,5,5,1
Can you explain the detailed biological process of photosynthesis in plants?,RAG System,0.8865,0.3636,0.3,0.3636,5,5,5,5
Who won the FIFA World Cup in the year 2022?,Baseline,0.7999,0.0,0.0,0.0,5,5,5,1
Who won the FIFA World Cup in the year 2022?,RAG System,0.8899,0.381,0.3158,0.381,5,5,5,5
What are the primary differences between General Relativity and Quantum Mechanics?,Baseline,0.781,0.0,0.0,0.0,1,1,1,5
What are the primary differences between General Relativity and Quantum Mechanics?,RAG System,0.8772,0.4706,0.4,0.4706,5,5,5,5
How do you cook an authentic Italian spaghetti carbonara?,Baseline,0.7649,0.0101,0.0051,0.0101,1,1,1,1
How do you cook an authentic Italian spaghetti carbonara?,RAG System,0.8817,0.4,0.3333,0.4,5,5,5,5
